Commodity,Sub-Category,Item description,Enriched Description,Final Search Term,CAS Number,INCI Name,Synonyms,Parameters
Oil Vegetable,Glycerin,GLYCERIN (GLYCEROL),Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN (GLYCEROL),Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,COGNIS GLYCEROL  (KOSHER),Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN 99.7% USP KOSHER,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN 99.7% USP KOSHER,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCEROL,GLYCEROL (Raw Desc),GLYCEROL (Raw Desc),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCEROL,GLYCEROL (Raw Desc),GLYCEROL (Raw Desc),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCEROL,GLYCEROL (Raw Desc),GLYCEROL (Raw Desc),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCEROL,GLYCEROL (Raw Desc),GLYCEROL (Raw Desc),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCEROL,GLYCEROL (Raw Desc),GLYCEROL (Raw Desc),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN CP,Glycerin (Raw Sub),Glycerin (Raw Sub),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
Oil Vegetable,Glycerin,GLYCERIN,GLYCERIN (Raw Desc),GLYCERIN (Raw Desc),56-81-5,N/A,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol",{}
