Commodity,Sub-Category,Item description,Final Search Term,CAS Number,Synonyms
Oil Vegetable,Glycerin,GLYCERIN (GLYCEROL),Glycerin (Raw Sub),56-81-5,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol"
Oil Vegetable,Glycerin,COGNIS GLYCEROL  (KOSHER),Glycerin (Raw Sub),56-81-5,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol"
Oil Vegetable,Glycerin,GLYCERIN 99.7% USP KOSHER,Glycerin (Raw Sub),56-81-5,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol"
Oil Vegetable,Glycerin,GLYCERIN CP,Glycerin (Raw Sub),56-81-5,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol"
Oil Vegetable,Glycerin,GLYCERIN,GLYCERIN (Raw Desc),56-81-5,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol"
Oil Vegetable,Glycerin,GLYCERIN CP,Glycerin (Raw Sub),56-81-5,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol"
Oil Vegetable,nan,GLYCERINE,GLYCERINE (Raw Desc),56-81-5,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol"
Oil Vegetable,Glycerin,GLYCERIN BP,Glycerin (Raw Sub),56-81-5,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol"
Oil Vegetable,Glycerin,GLYCERIN BP,Glycerin (Raw Sub),56-81-5,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol"
Oil Vegetable,Glycerin,GLYCERIN CP,Glycerin (Raw Sub),56-81-5,"1,2,3-Propanetriol|Glycerol|Propanetriol|2-Propanol, 1,3-dihydroxy-|Glycerin|Glycerine|Glyceritol|Glycyl alcohol|Trihydroxypropane|Glyrol"
