Item description,Enriched Description,CAS Number,INCI Name
GLYCERIN (GLYCEROL),glycerin_cas_56-81-5,56-81-5,N/A
GLYCERIN (GLYCEROL),glycerin_cas_56-81-5,56-81-5,N/A
COGNIS GLYCEROL  (KOSHER),glycerol_cas_56-81-5_grade_KOSHER,56-81-5,N/A
GLYCERIN 99.7% USP KOSHER,glycerin_cas_56-81-5_purity_99.7%_grade_USP KOSHER,56-81-5,N/A
GLYCERIN 99.7% USP KOSHER,glycerin_cas_56-81-5_purity_99.7%_grade_USP KOSHER,56-81-5,N/A
GLYCEROL,glycerol_cas_56-81-5,56-81-5,N/A
GLYCEROL,glycerol_cas_56-81-5,56-81-5,N/A
GLYCEROL,glycerol_cas_56-81-5,56-81-5,N/A
GLYCEROL,glycerol_cas_56-81-5,56-81-5,N/A
GLYCEROL,glycerol_cas_56-81-5,56-81-5,N/A
GLYCERIN CP,glycerincp_cas_56-81-5_grade_CP,56-81-5,N/A
GLYCERIN,glycerin_cas_56-81-5,56-81-5,N/A
GLYCERIN,glycerin_cas_56-81-5,56-81-5,N/A
GLYCERIN CP,glycerincp_cas_56-81-5_grade_CP,56-81-5,N/A
GLYCERINE,GLYCERINE (Raw Desc),56-81-5,N/A
GLYCERIN BP,glycerin_cas_56-81-5_grade_BP,56-81-5,N/A
GLYCERIN BP,glycerin_cas_56-81-5_grade_BP,56-81-5,N/A
GLYCERIN BP,glycerin_cas_56-81-5_grade_BP,56-81-5,N/A
GLYCERIN BP,glycerin_cas_56-81-5_grade_BP,56-81-5,N/A
GLYCERIN BP,glycerin_cas_56-81-5_grade_BP,56-81-5,N/A
GLYCERIN BP,glycerin_cas_56-81-5_grade_BP,56-81-5,N/A
GLYCERIN BP,glycerin_cas_56-81-5_grade_BP,56-81-5,N/A
GLYCERIN BP,glycerin_cas_56-81-5_grade_BP,56-81-5,N/A
GLYCERIN BP,glycerin_cas_56-81-5_grade_BP,56-81-5,N/A
GLYCERIN BP,glycerin_cas_56-81-5_grade_BP,56-81-5,N/A
GLYCERIN CP,glycerincp_cas_56-81-5_grade_CP,56-81-5,N/A
GLYCERIN CP,glycerincp_cas_56-81-5_grade_CP,56-81-5,N/A
GLYCERIN CP,glycerincp_cas_56-81-5_grade_CP,56-81-5,N/A
U - GLYCERINE USP 99.7%,glycerine_cas_56-81-5_purity_99.7%_grade_USP,56-81-5,N/A
U - GLYCERINE USP 99.7%,glycerine_cas_56-81-5_purity_99.7%_grade_USP,56-81-5,N/A
GLYCEROL (NON-KOSHER),glycerol_cas_56-81-5,56-81-5,N/A
GLYCERIN 99,glycerin_cas_56-81-5_purity_99%,56-81-5,N/A
AU - POLYGLYCEROL OLEATE ESTER,POLYGLYCEROL OLEATE (Clean Desc),9007-48-1,N/A
"*GLYCERINE ,KG,EU",glycerine_cas_56-81-5_grade_EU,56-81-5,N/A
"*GLYCERINE ,KG,EU",glycerine_cas_56-81-5_grade_EU,56-81-5,N/A
Glycerine EP,glycerine_cas_56-81-5_grade_EP,56-81-5,N/A
GLYCERINE,glycerine_cas_56-81-5,56-81-5,N/A
COGNIS GLYCEROL DRUM,glycerol_cas_56-81-5,56-81-5,N/A
Glycerine Pharma,glycerine_cas_56-81-5_grade_Pharma,56-81-5,N/A
Glycerine Pharma,glycerine_cas_56-81-5_grade_Pharma,56-81-5,N/A
Glycerine Pharma,glycerine_cas_56-81-5_grade_Pharma,56-81-5,N/A
